"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"11.06.2025","5,5364","5,5744","5,5814","5,5218","","-0,68%"
"10.06.2025","5,5744","5,5587","5,5777","5,5384","","0,28%"
"09.06.2025","5,5588","5,5629","5,5992","5,5506","","-0,01%"
"06.06.2025","5,5594","5,5890","5,6183","5,5581","","-0,53%"
"05.06.2025","5,5893","5,6366","5,6381","5,5775","","-0,84%"
"04.06.2025","5,6368","5,6389","5,6531","5,6087","","-0,04%"
"03.06.2025","5,6393","5,6740","5,7107","5,6247","","-0,60%"
"02.06.2025","5,6734","5,7236","5,7236","5,6663","","-0,86%"
"30.05.2025","5,7227","5,6666","5,7410","5,6495","","0,99%"
"29.05.2025","5,6666","5,6897","5,7036","5,6421","","-0,39%"
"28.05.2025","5,6890","5,6417","5,7182","5,6374","","0,83%"
"27.05.2025","5,6424","5,6691","5,6747","5,6354","","-0,47%"
"26.05.2025","5,6693","5,6467","5,6787","5,6352","","0,40%"
"23.05.2025","5,6468","5,7163","5,7459","5,6432","","-1,21%"
"22.05.2025","5,7160","5,6455","5,7167","5,5946","","1,24%"
"21.05.2025","5,6458","5,6680","5,6785","5,6402","","-0,40%"
"20.05.2025","5,6682","5,6516","5,6835","5,6412","","0,29%"
"19.05.2025","5,6516","5,6638","5,6911","5,6315","","-0,21%"
"16.05.2025","5,6633","5,6821","5,7140","5,6610","","-0,33%"
"15.05.2025","5,6821","5,6378","5,6977","5,6136","","0,78%"
"14.05.2025","5,6384","5,6088","5,6390","5,5824","","0,53%"
"13.05.2025","5,6085","5,6749","5,6758","5,5950","","-1,18%"
"12.05.2025","5,6752","5,6500","5,7065","5,6498","","0,35%"
"09.05.2025","5,6556","5,6620","5,6806","5,6376","","-0,10%"
"08.05.2025","5,6615","5,7454","5,7489","5,6597","","-1,47%"
"07.05.2025","5,7459","5,7142","5,7644","5,6962","","0,57%"
"06.05.2025","5,7135","5,6879","5,7384","5,6865","","0,44%"
"05.05.2025","5,6886","5,6553","5,6905","5,6286","","0,54%"
"02.05.2025","5,6579","5,6709","5,6739","5,6259","","-0,27%"
"01.05.2025","5,6734","5,6734","5,6734","5,6734","","-0,02%"
"30.04.2025","5,6748","5,6200","5,6871","5,6031","","0,96%"
"29.04.2025","5,6210","5,6544","5,6633","5,6191","","-0,59%"
"28.04.2025","5,6546","5,6872","5,7005","5,6460","","-0,52%"
"25.04.2025","5,6841","5,6823","5,7077","5,6641","","0,01%"
"24.04.2025","5,6833","5,7068","5,7114","5,6622","","-0,46%"
"23.04.2025","5,7096","5,7251","5,7286","5,6558","","-0,28%"
"22.04.2025","5,7255","5,8070","5,8073","5,7180","","-1,40%"
"21.04.2025","5,8067","5,8073","5,8073","5,8070","","0,00%"
"18.04.2025","5,8067","5,8073","5,8119","5,8066","","0,01%"
"17.04.2025","5,8063","5,8667","5,8887","5,7964","","-1,02%"
"16.04.2025","5,8664","5,8868","5,9160","5,8520","","-0,33%"
"15.04.2025","5,8859","5,8530","5,9044","5,8330","","0,53%"
"14.04.2025","5,8551","5,8658","5,8753","5,8279","","-0,17%"
"11.04.2025","5,8648","5,8855","5,9200","5,8168","","-0,35%"
"10.04.2025","5,8856","5,8219","5,9556","5,8177","","1,10%"
"09.04.2025","5,8215","6,0116","6,0966","5,8218","","-3,15%"
"08.04.2025","6,0109","5,9143","6,0199","5,8597","","1,64%"
"07.04.2025","5,9139","5,8441","5,9325","5,8156","","1,22%"
"04.04.2025","5,8425","5,6286","5,8541","5,6271","","3,79%"
"03.04.2025","5,6290","5,6635","5,6657","5,5929","","-0,56%"
"02.04.2025","5,6607","5,6818","5,7148","5,6487","","-0,37%"
"01.04.2025","5,6815","5,7052","5,7334","5,6729","","-0,41%"
"31.03.2025","5,7047","5,7585","5,7861","5,7007","","-0,97%"
"28.03.2025","5,7604","5,7460","5,7825","5,7390","","0,26%"
"27.03.2025","5,7452","5,7362","5,7715","5,7220","","0,16%"
"26.03.2025","5,7359","5,6998","5,7483","5,6933","","0,65%"
"25.03.2025","5,6989","5,7652","5,7661","5,6773","","-1,14%"
"24.03.2025","5,7646","5,7291","5,7726","5,7021","","0,62%"
"21.03.2025","5,7291","5,6804","5,7347","5,6754","","0,87%"
"20.03.2025","5,6797","5,6499","5,6816","5,6452","","0,55%"
"19.03.2025","5,6485","5,6713","5,6914","5,6320","","-0,39%"
"18.03.2025","5,6705","5,6836","5,7145","5,6556","","-0,23%"
"17.03.2025","5,6835","5,7410","5,7421","5,6657","","-0,96%"
"14.03.2025","5,7385","5,8002","5,8096","5,7094","","-1,04%"
"13.03.2025","5,7990","5,7993","5,8365","5,7912","","0,02%"
"12.03.2025","5,7978","5,8109","5,8476","5,7853","","-0,22%"
"11.03.2025","5,8103","5,8573","5,8574","5,8031","","-0,77%"
"10.03.2025","5,8555","5,7912","5,8732","5,7722","","1,18%"
"07.03.2025","5,7874","5,7646","5,8005","5,7511","","0,41%"
"06.03.2025","5,7639","5,7400","5,7810","5,7323","","0,43%"
"05.03.2025","5,7394","5,8854","5,8854","5,7387","","-2,48%"
"04.03.2025","5,8852","5,8852","5,8852","5,8852","","0,00%"
"03.03.2025","5,8852","5,8852","5,8852","5,8852","","0,00%"
"28.02.2025","5,8852","5,8351","5,9184","5,8227","","0,77%"
"27.02.2025","5,8401","5,8170","5,8413","5,7957","","0,63%"
"26.02.2025","5,8035","5,7420","5,8188","5,7333","","1,11%"
"25.02.2025","5,7396","5,7708","5,8137","5,7386","","-0,67%"
"24.02.2025","5,7785","5,7302","5,7825","5,7068","","0,81%"
"21.02.2025","5,7320","5,7027","5,7368","5,6936","","0,51%"
"20.02.2025","5,7029","5,7218","5,7218","5,6861","","-0,32%"
"19.02.2025","5,7214","5,6930","5,7329","5,6825","","0,57%"
"18.02.2025","5,6892","5,7102","5,7253","5,6752","","-0,42%"
"17.02.2025","5,7130","5,7033","5,7237","5,6950","","0,15%"
"14.02.2025","5,7042","5,7673","5,7707","5,6928","","-1,09%"
"13.02.2025","5,7669","5,7642","5,7997","5,7548","","0,03%"
"12.02.2025","5,7649","5,7653","5,7878","5,7429","","0,02%"
"11.02.2025","5,7635","5,7877","5,8078","5,7571","","-0,41%"
"10.02.2025","5,7874","5,8095","5,8243","5,7638","","-0,32%"
"07.02.2025","5,8058","5,7622","5,8131","5,7349","","0,77%"
"06.02.2025","5,7617","5,8044","5,8246","5,7485","","-0,61%"
"05.02.2025","5,7973","5,7586","5,8179","5,7491","","0,75%"
"04.02.2025","5,7540","5,8008","5,8271","5,7527","","-0,91%"
"03.02.2025","5,8066","5,8404","5,9052","5,7951","","-0,59%"
"31.01.2025","5,8410","5,8735","5,8735","5,8106","","-0,56%"
"30.01.2025","5,8740","5,8706","5,9332","5,8473","","0,30%"
"29.01.2025","5,8563","5,8633","5,8892","5,8420","","-0,01%"
"28.01.2025","5,8571","5,8953","5,9205","5,8557","","-0,60%"
"27.01.2025","5,8926","5,9447","5,9560","5,8926","","-0,31%"
"24.01.2025","5,9109","5,9247","5,9250","5,8674","","-0,23%"
"23.01.2025","5,9243","5,9423","5,9706","5,8733","","-0,29%"
"22.01.2025","5,9415","6,0222","6,0273","5,9155","","-1,34%"
"21.01.2025","6,0220","6,0319","6,0680","6,0168","","-0,16%"
"20.01.2025","6,0315","6,0691","6,0862","6,0268","","-0,64%"
"17.01.2025","6,0704","6,0551","6,0905","6,0266","","0,34%"
"16.01.2025","6,0499","6,0104","6,0708","5,9935","","0,67%"
"15.01.2025","6,0098","6,0560","6,0701","6,0043","","-0,76%"
"14.01.2025","6,0559","6,0979","6,0979","6,0406","","-0,63%"
"13.01.2025","6,0944","6,1100","6,1358","6,0748","","-0,18%"
"10.01.2025","6,1053","6,0365","6,1235","6,0299","","1,14%"
"09.01.2025","6,0364","6,1058","6,1223","6,0319","","-1,13%"
"08.01.2025","6,1055","6,1013","6,1565","6,1013","","0,07%"
"07.01.2025","6,1010","6,1156","6,1189","6,0535","","-0,23%"
"06.01.2025","6,1152","6,1817","6,1820","6,0920","","-1,05%"
"03.01.2025","6,1798","6,1522","6,2011","6,1357","","0,45%"
"02.01.2025","6,1519","6,1847","6,2284","6,1446","","-0,52%"
"01.01.2025","6,1840","6,1847","6,1847","6,1847","","0,10%"
"31.12.2024","6,1778","6,1778","6,1778","6,1778","","0,00%"
"30.12.2024","6,1778","6,2030","6,2428","6,1518","","-0,30%"
"27.12.2024","6,1964","6,1834","6,2159","6,1693","","0,22%"
"26.12.2024","6,1828","6,1602","6,1982","6,1462","","-0,13%"
"25.12.2024","6,1906","6,1906","6,1906","6,1906","","0,00%"
"24.12.2024","6,1906","6,1919","6,1937","6,1913","","-0,05%"
"23.12.2024","6,1939","6,0799","6,2020","6,0799","","1,78%"
"20.12.2024","6,0853","6,1443","6,1493","6,0435","","-1,09%"
"19.12.2024","6,1525","6,2446","6,3007","6,1051","","-2,18%"
"18.12.2024","6,2896","6,0981","6,3144","6,0937","","3,03%"
"17.12.2024","6,1048","6,1463","6,2097","6,0580","","-0,70%"
"16.12.2024","6,1479","6,0464","6,1500","6,0246","","1,75%"
"13.12.2024","6,0419","5,9976","6,0778","5,9740","","0,84%"
"12.12.2024","5,9915","5,9549","6,0494","5,8664","","0,62%"
"11.12.2024","5,9543","6,0456","6,0733","5,9405","","-1,50%"
